RecordID,paper_name,Attack Name,Objective,Threat Model,Attacker Knowledge,is Backdoor,Attack Type,Attack Phase,Domain,Task Type,Applicable in the physical domain,Description,Attack's success rate - digital domain,Attack's success rate - physical domain,Attacked models,Datasets,Reference
0.0,100_FoolingEndToEndSpeakerVerificationWithAdversarialExamples.pdf,White-box YOHO Mel-spectrum,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Speech,Classification,no,Noise added to test utterance.,48.00%,,['End-to-end deep neural'],['YOHO'],https://arxiv.org/abs/1803.05651
0.0,100_FoolingEndToEndSpeakerVerificationWithAdversarialExamples.pdf,White-box YOHO MFCC,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Speech,Classification,no,Noise added to test utterance.,61.75%,,['End-to-end deep neural'],['YOHO'],https://arxiv.org/abs/1803.05651
0.0,100_FoolingEndToEndSpeakerVerificationWithAdversarialExamples.pdf,White-box NTIMIT Mel-spectrum,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Speech,Classification,no,Noise added to test utterance.,59.86%,,['End-to-end deep neural'],['NTIMIT'],https://arxiv.org/abs/1803.05651
0.0,100_FoolingEndToEndSpeakerVerificationWithAdversarialExamples.pdf,White-box NTIMIT MFCC,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Speech,Classification,no,Noise added to test utterance.,69.94%,,['End-to-end deep neural'],['NTIMIT'],https://arxiv.org/abs/1803.05651
0.0,100_FoolingEndToEndSpeakerVerificationWithAdversarialExamples.pdf,Cross-dataset black-box,Integrity,Transferable,BlackBox,False,Evasion,Serving,Speech,Classification,no,NTIMIT Mel-spectrum attacks YOHO MFCC model.,22.62%,,['End-to-end deep neural YOHO MFCC'],['NTIMIT'],https://arxiv.org/abs/1803.05651
0.0,100_FoolingEndToEndSpeakerVerificationWithAdversarialExamples.pdf,Cross-feature black-box,Integrity,Transferable,BlackBox,False,Evasion,Serving,Speech,Classification,no,Mel-spectrum features attack YOHO MFCC model.,18.75%,,['End-to-end deep neural YOHO MFCC'],['YOHO'],https://arxiv.org/abs/1803.05651
0.0,101_Datadrivenexploratoryattacksonblackboxclassifiersinadversarialdomains.pdf,AP,Integrity,Interactive,BlackBox,False,Evasion,Serving,Cyber,Classification,no,Anchor points based evasion,97.7%,0.0,Various,Multiple,Not provided
0.0,101_Datadrivenexploratoryattacksonblackboxclassifiersinadversarialdomains.pdf,RE,Integrity,Interactive,BlackBox,False,Evasion,Serving,Cyber,Classification,no,Reverse engineering for evasion,91.2%,0.0,Various,Multiple,Not provided
0.0,102_Channelawareadversarialattacksagainstdeeplearningbasedwirelesssignalclassifiers.pdf,Channel-Aware,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Wireless,Classification,yes,Fool classifiers with channel effects,,,VT-CNN2,RML2016.10a,unspecified
0.0,102_Channelawareadversarialattacksagainstdeeplearningbasedwirelesssignalclassifiers.pdf,Broadcast,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Wireless,Classification,yes,Fool multiple classifiers simultaneously,,,VT-CNN2,RML2016.10a,unspecified
0.0,102_Channelawareadversarialattacksagainstdeeplearningbasedwirelesssignalclassifiers.pdf,Limited Channel Info,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Wireless,Classification,yes,Limited channel info for crafting perturbations,,,VT-CNN2,RML2016.10a,unspecified
0.0,102_Channelawareadversarialattacksagainstdeeplearningbasedwirelesssignalclassifiers.pdf,UAP,Integrity,Transferable,BlackBox,False,Evasion,Serving,Wireless,Classification,yes,Transferable attack without exact input,,,VT-CNN2,RML2016.10a,unspecified
0.0,102_Channelawareadversarialattacksagainstdeeplearningbasedwirelesssignalclassifiers.pdf,Black-Box UAP,Integrity,Transferable,BlackBox,False,Evasion,Serving,Wireless,Classification,yes,No knowledge of DNN model for attack,,,VT-CNN2,RML2016.10a,unspecified
0.0,102_Channelawareadversarialattacksagainstdeeplearningbasedwirelesssignalclassifiers.pdf,Defense,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Wireless,Classification,yes,Randomized smoothing to increase robustness,,,VT-CNN2,RML2016.10a,unspecified
0.0,103_Overtheairadversarialattacksondeeplearningbasedmodulationclassifieroverwirelesschannels.pdf,TWBAA-CI,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Classification,yes,Targeted attack with channel effects.,,,VT-CNN2,RML2016.10a,http://vixra.org/abs/2002.0202
0.0,103_Overtheairadversarialattacksondeeplearningbasedmodulationclassifieroverwirelesschannels.pdf,NWBAA-CI,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Classification,yes,Non-targeted attack with channel effects.,,,VT-CNN2,RML2016.10a,http://vixra.org/abs/2002.0202
